项目名称,项目简介,主要产品,业主方,所在地,行业,大类
年产3000吨葡萄酒及果酒生产线建设项目,"['该项目位于陕西省商洛市丹凤县商镇桃源村 ，建设年产3000吨葡萄酒及果酒生产线。项目的工业设计由本业主单位丹凤县商山红葡萄酒有限公司负责。', '项目总投资3600万元。']",建设年产3000吨葡萄酒及果酒生产线。,['丹凤县商山红葡萄酒有限公司'],陕西省商洛市丹凤县商镇桃源村,轻纺食品,其他
【VIP】华县40万吨碳四深加工项目,"['该项目位于陕西省渭南市华县，由上海新佑能源科技有限公司投资建设，建设40万吨碳四深加工项目。', '项目总投资163252万元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，截至目前（2015年2月5日）,该项目目前仍处于前期规划阶段，由于公司规划可能有变动，目前项目暂时尚未正式启动。', '（2）设计工作情况：该项目设计工作尚未开始进行。', '（3）土建施工情况：该项目尚未进行主体土建施工。', '（4）设备采购情况：该项目设备未开始采购。']",建设40万吨碳四深加工项目。,['上海新佑能源科技有限公司'],陕西省渭南市华县,化工医药,化工医药
【VIP】华能横靖煤电一体化电厂（一期）项目,"['该项目位于陕西省榆林市靖边县，由华能陕西发电有限公司投资建设，建设2×660MW超超临界空冷燃煤机组。', '项目总投资47亿元。', '项目进展情况：', '（1）前期工作情况：截至目前，项目正在由中国电力工程顾问集团西北电力设计院编制可研报告。', '（2）设计工作情况：设计工作尚未开展，设计单位暂未确定。', '（3）施工准备情况：土建工作未开展，开工时间暂未确定。', '（4）设备准备情况：尚未开始采购相关主体设备，采购时间暂未确定。']",建设2×660MW超超临界空冷燃煤机组。,['华能陕西发电有限公司'],陕西省榆林市靖边县,电力,电力
陇县丰台山风力发电建设项目（更新）,"['该项目位于陕西省宝鸡市陇县，由华润新能源控股有限公司投资建设，建设1500千瓦风力发电机组66台，架设110千伏线路46公里，建设110千伏升压站1座，配套建设油品库、事故油池、污废水处理装置、电器综合配电室等。', '项目总投资10亿元。']",总装机容量99兆瓦。,['华润新能源控股有限公司'],陕西省宝鸡市陇县,电力,电力
第一采油厂年产22万吨产能建设项目,"['该项目位于陕西省延安市安塞县、志丹县 ，由长庆油田分公司第一采油厂投资建设，区块总面积：83.58平方千米，产能规模：22万吨/年。', '项目总投资12331.92万元。']",区块总面积：83.58平方千米，产能规模：22万吨/年。,['长庆油田分公司第一采油厂'],陕西省延安市安塞县、志丹县,能源矿产,能源矿产
渭南市蒲城县光伏发电（一期）项目,"['该项目位于陕西省渭南市蒲城县，由西安隆基清洁能源有限公司投资建设，拟开发总容量为120MW，一期工程10MW。', '项目总投资1亿元。']",装机容量为10MW。,['西安隆基清洁能源有限公司'],陕西省渭南市蒲城县,电力,电力
【VIP】姚店污水处理厂项目（BOT）,"['该项目位于陕西省延安市，拟建日处理能力5万吨污水处理厂一座，铺设污水管网24.09公里。', '项目总投资3.6亿元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，该项目前期立项审批等手续已完成。', '（2）设计工作情况：该项目设计工作已完成，项目的设计由中国市政工程中国市政工程华北设计研究总院负责。', '（3）土建施工情况：该项目主体未动工，目前正在BOT单位招标，计划15年6月份开工，工期暂未定。', '（4）设备采购情况：该项目设备未开始采购。']",拟建日处理能力5万吨污水处理厂一座，铺设污水管网24.09公里。,['延安市城市管理局'],陕西省延安市,"市政公用,环保",其他
【VIP】碳氢高效利用技术研究中心碳氢资源高效综合利用工业试验示范项目,"['该项目位于陕西省兴平市兴化集团现有厂区内，由陕西延长石油（集团）有限责任公司投资建设，主要建设100吨每天的TRIG试验示范装置和1桶每天的VCC中试装置。', '项目总投资49850万元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，该项目立项审批手续等已完成。', '（2）设计工作情况：截至目前（2015年2月5日）,该项目设计由北京石油化工工程有限公司西安分公司负责，图纸已交付业主。', '（3）土建施工情况：截至目前（2015年2月5日）,该项目由陕西化建工程有限责任公司负责建设，现正在钢架结构建设。', '（4）设备采购情况：该项目所需大部分设备已采购完毕，后期所需配件根据安装需要而采购。']",主要建设100吨每天的TRIG试验示范装置和1桶每天的VCC中试装置。,['陕西延长石油（集团）有限责任公司'],陕西省兴平市兴化集团现有厂区内,化工医药,化工医药
采油厂油泥减量化处理工程,"['该项目位于陕西省延安市永宁采油厂西区采油队辖区西区，由延长油田股份有限公司永宁采油厂投资建设，本项目占地2700.01平方米（4.05亩），设计处理含油污泥30000立方米/年，脱水后油泥含水率75%以下。拟建项目含油污泥减量化工程建设内容包括污泥池、减量化设施，生活办公设施依托永宁采油厂西区采油队辖区西区7号接转战。', '项目总投资1368.18万元。', '工艺设计由本单位自行负责完成。']",本项目占地2700.01平方米（4.05亩），设计处理含油污泥30000立方米/年，脱水后油泥含水率75%以下。拟建项目含油污泥减量化工程建设内容包括污泥池、减量化设施，生活办公设施依托永宁采油厂西区采油队辖区西区7号接转战。,['延长油田股份有限公司永宁采油厂'],陕西省延安市永宁采油厂西区采油队辖区西区,能源矿产,能源矿产
固关丰台山太阳能光伏发电项目,"['该项目位于陕西省宝鸡市陇县，由华润新能源控股有限公司山西分公司投资建设，装机规模3万千瓦。项目正在前期规划中，尚未正式启动。', '项目总投资3亿元。']",装机规模3万千瓦。,['华润新能源控股有限公司山西分公司'],陕西省宝鸡市陇县,电力,电力
建设天然气城市气化工程,"['该项目位于陕西省榆林市店塔镇，由神木县美能天然气有限责任公司投资建设，门站1座，总规划占地面积20亩，中压管网31.5千米及调压箱（柜）160台。本工程的供气规模为5000标准立方米/时（1369万标准立方米/年），气化用户1.6万户。', '项目总投资5000万元。']",门站1座，总规划占地面积20亩，中压管网31.5千米及调压箱（柜）160台。本工程的供气规模为5000标准立方米/时（1369万标准立方米/年），气化用户1.6万户。,['神木县美能天然气有限责任公司'],陕西省榆林市店塔镇,能源矿产,能源矿产
天然气勘探（SM-19天然气勘探井）项目,"['该项目位于陕西省榆林市神木县栏杆堡武寨村东南0.78千米处，由中联煤层气有限责任公司投资建设，井为参数+生产试验井，井深2234米。', '项目总投资1000万元。', '工艺设计由本单位自行负责完成。']",井为参数+生产试验井，井深2234米。,['中联煤层气有限责任公司'],陕西省榆林市神木县栏杆堡武寨村东南0.78千米处,能源矿产,能源矿产
【VIP】红石桥煤电一体化电厂2×660MW超超临界燃煤发电项目,"['该项目位于陕西省榆林市榆阳区红石桥乡，由陕西榆林能源集团有限公司投资建设，建设2×660MW超超临界燃煤发电机组。', '项目总投资57亿元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，项目正在由中国电力工程顾问集团西北电力设计院编制可研报告。', '（2）设计工作情况：该项目设计工作尚未开展，设计单位暂未确定。', '（3）土建施工情况：该项目尚未开始主体施工，开工时间暂未确定。', '（4）设备采购情况：该项目尚未开始采购相关设备，采购时间暂未确定。']",建设2×660MW超超临界燃煤发电机组。,['陕西榆林能源集团有限公司'],陕西省榆林市,电力,电力
【VIP】沙梁川电厂2×1000MW脱硫脱硝工程,"['该项目位于陕西省榆林市府谷县庙沟门工业集中区，由陕煤化集团府谷能源开发有限公司投资建设，对2×1000MW大型燃煤空冷机组进行烟气脱硫脱硝处理。', '项目总投资4亿元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，项目正在进行可研单位招标。', '（2）设计工作情况：该项目设计工作尚未开展，设计单位暂未确定。', '（3）土建施工情况：该项目尚未开始主体施工，施工时间暂未确定。', '（4）设备采购情况：该项目尚未开始采购相关设备，采购时间暂未确定。']",对2×1000MW大型燃煤空冷机组进行烟气脱硫脱硝处理。,['陕煤化集团府谷能源开发有限公司'],陕西省榆林市府谷县,"电力,环保",电力
东升综合大市场建设工程,"['该项目位于陕西省榆林市青云镇金沙路东、钟家沟现状水泥路南，由榆林榆阳区青云镇钟家沟村村委会投资建设，总建筑面积171385平方米，计划新建三栋综合楼，包括:商铺，餐饮，商务酒店，地下车库。', '项目总投资5亿元。']",总建筑面积171385平方米。,['榆林榆阳区青云镇钟家沟村村委会'],陕西省榆林市青云镇金沙路东、钟家沟现状水泥路南,建筑,建筑
【VIP】延安煤油气资源综合利用项目（跟踪1）,"['该项目位于陕西省延安市富县富城镇洛阳村，由陕西延长石油集团延安能源化工有限公司投资建设，主要利用集团内部年产40万吨石脑油、10.57亿立方米天然气以及92万吨原煤为原料,主要建设年产180万吨甲醇、60万吨甲醇深加工、 40万吨轻油加工利用、42万吨聚乙烯、25万吨聚丙烯、20万吨丁辛醇、8万吨二丙基庚醇、5万吨乙丙橡胶等主装置及配套的公用工程系统，生产石油化工产品。', '项目总投资240亿元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，该项目立项审批手续等已完成。', '（2）设计工作情况：截至目前（2015年2月4日）,该项目总体设计单位为北京石油化工工程有限公司，该设计单位主要负责该项目聚乙烯，聚丙烯装置EPC总承包，现基础设计已完成并评审通过，由于业主资金等问题，设计进度缓慢；中国成达工程有限公司负责该项目乙丙橡胶装置和甲醇装置设计，现初步设计已完成，详细设计暂未开始；山东三维石化工程股份有限公司青岛分公司负责硫回收装置设计，基础设计已完成，详细设计暂未开始；中国石化集团洛阳石油化工工程公司负责MTO装置即180万吨甲醇、60万吨甲醇深加工装置设计，目前初步设计已评审。', '（3）土建施工情况：截至目前（2015年2月4日）,该项目已经开始前期场平工作，主体装置的施工总包单位尚未招标。', '（4）设备采购情况：该项目设备未开始采购。']","主要利用集团内部年产40万吨石脑油、10.57亿立方米天然气以及92万吨原煤为原料,主要建设年产180万吨甲醇、60万吨甲醇深加工、 40万吨轻油加工利用、42万吨聚乙烯、25万吨聚丙烯、20万吨丁辛醇、8万吨二丙基庚醇、5万吨乙丙橡胶等主装置及配套的公用工程系统，生产石油化工产品。",['陕西延长石油集团延安能源化工有限公司'],陕西省延安市富县富城镇洛阳村,化工医药,化工医药
储运系统扩能改造项目,"['该项目位于陕西省延安市洛川县交口河镇，由陕西延长石油（集团）有限责任公司投资建设，原油一次加工能力约1400万吨。', '项目总投资400000万元。']",原油一次加工能力约1400万吨。,['陕西延长石油（集团）有限责任公司'],陕西省延安市洛川县交口河镇,化工医药,化工医药
新建CNG加气站项目,"['该项目位于陕西省榆林市神木县大保当镇野鸡河村，由神木县建贵工贸有限公司投资建设，占地面积7134.18平方米，绿化面积856平方米。项目建设内容包括压缩储气区、加注作业区及站房等辅助设施。', '项目总投资2349万元。']",占地面积7134.18平方米，绿化面积856平方米。项目建设内容包括压缩储气区、加注作业区及站房等辅助设施。,['神木县建贵工贸有限公司'],陕西省榆林市神木县大保当镇野鸡河村,能源矿产,能源矿产
新建液化天然气加气站项目,"['该项目位于陕西省榆林市神木县大柳塔镇敏盖兔村郭敏公路南，由神木县中矿能源开发有限公司投资建设，20000标准立方米/天加气站。', '项目总投资1000万元。']",20000标准立方米/天加气站。,['神木县中矿能源开发有限公司'],陕西省榆林市神木县大柳塔镇敏盖兔村郭敏公路南,能源矿产,能源矿产
天然气勘探项目,"['该项目位于陕西省榆林市神木县栏杆堡中焉村西2.71千米处，由中联煤层气有限责任公司投资建设，项目建设规模：井为参数+生产试验井，井深2208米。', '项目总投资1000万元。', '工艺设计由本单位自行负责完成。']",项目建设规模：井为参数+生产试验井，井深2208米。,['中联煤层气有限责任公司'],陕西省榆林市神木县栏杆堡中焉村西2.71千米处,能源矿产,能源矿产
子长东净化厂-蟠龙清管站天然气集输干线工程,"['该项目位于陕西省延安市子长县，由陕西延长石油（集团）有限责任公司管道运输公司投资建设，设计任务输量分别为10亿立方/年。', '项目总投资8000万元。']",设计任务输量分别为10亿立方/年。,['陕西延长石油（集团）有限责任公司管道运输公司'],陕西省延安市子长县,能源矿产,能源矿产
天然气勘探（SM-16天然气勘探井）项目,"['该项目位于陕西省榆林市神木县栏杆堡折小寨村北0.76千米处，由中联煤层气有限责任公司投资建设，井为参数+生产试验井，井深2141米。', '项目总投资1000万元。', '工艺设计由本单位自行负责完成。']",井为参数+生产试验井，井深2141米。,['中联煤层气有限责任公司'],陕西省榆林市神木县栏杆堡折小寨村北0.76千米处,能源矿产,能源矿产
天然气勘探（SM-18天然气勘探井）项目,"['该项目位于陕西省榆林市神木县城关镇龚家峁村东北0.46千米处，由中联煤层气有限责任公司投资建设，SM-18井为参数+生产试验井，设计井深2050米。', '项目总投资1000万元。', '工艺设计由本单位自行负责完成。']",SM-18井为参数+生产试验井，设计井深2050米。,['中联煤层气有限责任公司'],陕西省榆林市神木县城关镇龚家峁村东北0.46千米处,能源矿产,能源矿产
【VIP】华能横靖煤电一体化电厂（一期）脱硫脱硝项目,"['该项目位于陕西省榆林市靖边县，由华能陕西发电有限公司投资建设，对2×660MW超超临界空冷燃煤机组进行烟气脱硫脱硝处理。', '项目总投资3亿元。', '项目进展情况：', '（1）前期工作情况：截至目前，项目正在由中国电力工程顾问集团西北电力设计院编制可研报告。', '（2）设计工作情况：设计工作尚未开展，设计单位暂未确定。', '（3）施工准备情况：土建工作未开展，开工时间暂未确定。', '（4）设备准备情况：尚未开始采购相关主体设备，采购时间暂未确定。']",对2×660MW超超临界空冷燃煤机组进行烟气脱硫脱硝处理。,['华能陕西发电有限公司'],陕西省榆林市靖边县,"电力,环保",电力
【VIP】年产60万吨煤炭资源整合开采项目,"['该项目位于陕西省榆林市府谷县新民镇管辖，由府谷县盛海煤业有限责任公司投资建设，年产60万吨煤炭资源整合开采项目。', '项目总投资31300万元。', '项目跟踪情况：', '（1）前期工作情况：该项目正在办理环评等前期手续。', '（2）设计工作情况：截至目前（2015年2月05日）：该项目设计尚未开始。', '（3）土建施工情况：该项目土体土建尚未开始。', '（4）设备采购情况：该项目设备尚未采购。']",年产60万吨煤炭资源整合开采项目。,['府谷县盛海煤业有限责任公司'],陕西省榆林市府谷县新民镇管辖,能源矿产,能源矿产
旬阳水电站工程（更新）,"['该项目位于陕西省安康市旬阳县，由陕西汉江投资开发有限公司投资建设，是汉江上游干流规划的七个梯级中的第五级梯级，总装机32万千瓦。', '项目总投资30亿元。']",总装机32万千瓦。,['陕西汉江投资开发有限公司旬阳水力发电厂筹建处'],陕西省安康市旬阳县,电力,电力
合阳煤层气分输站-澄城门站输气管道工程,"['该项目位于陕西省渭南市合阳县、澄城县，由陕西城市燃气产业发展有限公司投资建设，全长14.6千米（管道规格为D273×6.3高频直缝焊钢管，钢级为L245兆帕，设计压力为2.0兆帕，输气能力为30万标准立方米/天）。', '项目总投资5000万元。']",全长14.6千米（管道规格为D273×6.3高频直缝焊钢管，钢级为L245兆帕，设计压力为2.0兆帕，输气能力为30万标准立方米/天）。,['陕西城市燃气产业发展有限公司'],陕西省渭南市合阳县、澄城县,能源矿产,能源矿产
延长东净化厂至姚店输气站天然气集输干线工程,"['该项目位于陕西省延安市延长县，由陕西延长石油（集团）有限责任公司管道运输公司投资建设，5亿立方/年。', '项目总投资6000万元。']",5亿立方/年。,['陕西延长石油（集团）有限责任公司管道运输公司'],陕西省延安市延长县,能源矿产,能源矿产
天然气勘探（SM-103天然气勘探井）项目,"['该项目位于陕西省榆林市神木县解家堡乡白兴庄村东北1.22千米处，由中联煤层气有限责任公司投资建设，井为参数+生产试验井，井深2221米。', '项目总投资1000万元。', '工艺设计由本单位自行负责完成。']",井为参数+生产试验井，井深2221米。,['中联煤层气有限责任公司'],陕西省榆林市神木县解家堡乡白兴庄村东北1.22千米处,能源矿产,能源矿产
天然气勘探（SM-20天然气勘探井）项目,"['该项目位于陕西省榆林市神木县訾大庄村西1.09千米处，由中联煤层气有限责任公司投资建设，井为参数+生产试验井，井深2221米。', '项目总投资1000万元。']",井为参数+生产试验井，井深2221米。,['中联煤层气有限责任公司'],陕西省榆林市神木县訾大庄村西1.09千米处,能源矿产,能源矿产
商洛必康医药产业园（二期）工程,"['该项目位于陕西省商洛市山阳县十里铺镇十里铺村，由陕西必康制药集团控股有限公司投资建设，总建筑面积29000平方米，计划新建两座车间厂房、两座成品库房，两座中药材库，建成后预计年产板蓝根颗粒60万件，感冒清热颗粒40万件。', '项目总投资48000万元。']",总建筑面积29000平方米，年产板蓝根颗粒60万件，感冒清热颗粒40万件。,['陕西必康制药集团控股有限公司'],陕西省商洛市山阳县十里铺镇十里铺村,"化工医药,市政公用",其他
西安绕城高速公路通行能力提升工程,"['该项目位于陕西省西安市，西安绕城高速公路全线路基宽度35米，双向六车道，设计行车速度120公里/小时。主要工程内容包括：增设雁塔路立交、金花路立交、能源中心立交、镐京立交、田王立交等5处立交；对北客站区域城市路网进行优化改造；扩建西高新、曲江等2处收费站；增设绕城东、西等2处服务区，工程建设投资约13.8亿元（不含征地拆迁费用）。', '项目总投资138000万元。']",增设雁塔路立交、金花路立交、能源中心立交、镐京立交、田王立交等5处立交；对北客站区域城市路网进行优化改造；扩建西高新、曲江等2处收费站；增设绕城东、西等2处服务区。,['陕西省交通建设集团公司'],陕西省西安市,"交通运输,市政公用",其他
甘谷驿采油厂原油集输站搬迁工程,"['该项目位于陕西省延安市，由延长油田股份有限公司甘谷驿采油厂投资建设，甘谷驿采油厂原油集输站搬迁工程，在宝塔区新建8093井转油放水站1座，原油处理规模12万立方米/年，污水处理规模1200立方米/天，1000立方米原油罐4具，20立方米汽车卸油装置8套，玻璃钢注水管线8.5千米。在延长区新建盖头坪集输站1座，处理延长区原油及8093井转油放水站处理后得低含水原油，延长区原油处理规模14万立方米/年，污水处理规模1300立方米/天，2000立方米原油罐6具，20立方米汽车卸油装置10套，玻璃钢注水管线4千米。', '项目总投资5000万元。']",甘谷驿采油厂原油集输站搬迁工程，在宝塔区新建8093井转油放水站1座，原油处理规模12万立方米/年，污水处理规模1200立方米/天，1000立方米原油罐4具，20立方米汽车卸油装置8套，玻璃钢注水管线8.5千米。在延长区新建盖头坪集输站1座，处理延长区原油及8093井转油放水站处理后得低含水原油，延长区原油处理规模14万立方米/年，污水处理规模1300立方米/天，2000立方米原油罐6具，20立方米汽车卸油装置10套，玻璃钢注水管线4千米。,['延长油田股份有限公司甘谷驿采油厂'],陕西省延安市,能源矿产,能源矿产
西安市西南郊污水处理厂扩建工程,"['该项目位于陕西省西安市，污水厂总规模为日处理污水20万立方米，其中一期设计规模为8万立方米，深度处理规模为1.5万立方米。本期扩建工程日处理规模6万立方米。', '项目总投资8000万元。', '西安高新区污水处理有限公司申请西安市西南郊污水处理厂扩建工程初步设计及施工图编制项目拟采取单一来源采购方式采购，该项目拟由中国市政工程西北设计研究院有限公司承担。']",扩建日处理规模6万立方米。,['西安高新区污水处理有限公司'],陕西省西安市,环保,其他
杨桥畔50兆瓦光伏电站项目,"['该项目位于陕西省榆林市靖边县，由东投能源投资有限公司投资建设，装机容量为50MW。', '项目总投资5亿元。']",装机容量为50MW。,['东投能源投资有限公司'],陕西省榆林市靖边县,电力,电力
【VIP】神东电力富平2×350兆瓦热电联产项目（跟踪2）,"['该项目位于陕西省渭南市富平县，由神华神东电力陕西富平热电有限公司投资建设，建设2台350兆瓦超临界热电联产空冷燃煤机组。', '项目总投资280000万元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，截至目前，项目可研由中国电力工程顾问集团西北电力设计院编制完成，已获核准。', '（2）设计工作情况：该项目设计工作正在进行中，由中国电力工程顾问集团西北电力设计院负责。', '（3）土建施工情况：该项目刚完成EPC招标，确定中标单位为中国电力工程顾问集团西北电力设计院。', '（4）设备采购情况：陆续采购相关设备。']",建设2台350MW超临界热电联产空冷燃煤机组。,['神华神东电力陕西富平热电有限公司'],陕西省渭南市富平县,电力,电力
年产20万吨液化天然气项目,"['该项目位于陕西省渭南市韩城市，由陕西海燕焦化（集团）有限责任公司投资建设，主要以海燕焦化产生的4亿立方米焦炉煤气为原料，生产20万吨液化天然气。', '项目总投资68000万元。']",主要以海燕焦化产生的4亿立方米焦炉煤气为原料，生产20万吨液化天然气。,['陕西海燕焦化（集团）有限责任公司'],陕西省渭南市韩城市,能源矿产,能源矿产
年产15万吨高性能特种工业铝型材生产项目,"['该项目位于陕西省铜川市耀州区董家河工业园区，由陕西铭帝铝业有限公司投资建设，建规模为年产10万吨建筑铝合金型材。包括熔铸生产线、挤压生产线、电泳涂漆生产线、粉末喷涂生产线、氟碳喷漆生产线、门窗幕墙加工生产线、锅炉及污水处理站等主体车间及配套的制冷、给排水、配电、供气等辅助生产车间，以及生活、办公、修理、仓储等公用及辅助设施和厂区内的道路、绿化等。', '项目总投资99955.11万元。']",建规模为年产10万吨建筑铝合金型材。包括熔铸生产线、挤压生产线、电泳涂漆生产线、粉末喷涂生产线、氟碳喷漆生产线、门窗幕墙加工生产线、锅炉及污水处理站等主体车间及配套的制冷、给排水、配电、供气等辅助生产车间，以及生活、办公、修理、仓储等公用及辅助设施和厂区内的道路、绿化等。,['陕西铭帝铝业有限公司'],陕西省铜川市耀州区董家河工业园区,冶金,能源矿产
陇县百草山风电项目,"['该项目位于陕西省宝鸡市陇县，由华润新能源控股有限公司山西分公司投资建设，规划装机规模50兆瓦，项目正在前期规划中，尚未正式启动。', '项目总投资4.3亿元。']",规划装机规模50兆瓦。,['华润新能源控股有限公司山西分公司'],陕西省宝鸡市陇县,电力,电力
【VIP】年产5万套耀瓷艺术洁具、骨质日用瓷、建筑手工艺术砖项目,"['该项目位于陕西省铜川市王益区黄堡工业园，由铜川凯莱斯科耀瓷文化发展有限公司投资建设，年产5万套耀瓷艺术洁具、骨质日用瓷、建筑手工艺术砖项目，项目规划面积88000平方米，绿化面积17600平方米。', '项目总投资30000万元。', '项目跟踪情况：', '（1）前期工作情况：该项目正在办理前期手续。', '（2）设计工作情况：截至目前（2015年2月28日）：该项目目前正在寻找设计院。', '（3）土建施工情况：该项目尚未开始主体施工。', '（4）设备采购情况：该项目设备尚未采购。预计引进国外的设备。']",年产5万套耀瓷艺术洁具、骨质日用瓷、建筑手工艺术砖。,['铜川凯莱斯科耀瓷文化发展有限公司'],陕西省铜川市王益区黄堡工业园,材料,材料制造
永宁采油厂洛河区供水站工程,"['该项目位于陕西省延安市志丹县，建设日供水规模为3000立方米供水站。', '项目总投资2000万元。']",建设日供水规模为3000立方米供水站。,['延长油田股份有限公司永宁采油厂'],陕西省延安市志丹县,市政公用,其他
【VIP】红石桥煤电一体化电厂脱硫脱硝项目,"['该项目位于陕西省榆林市榆阳区红石桥乡，由陕西榆林能源集团有限公司投资建设，对2×660MW超超临界燃煤发电机组进行烟气脱硫脱硝处理。', '项目总投资3亿元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，项目正在由中国电力工程顾问集团西北电力设计院编制可研报告。', '（2）设计工作情况：该项目设计工作尚未开展，设计单位暂未确定。', '（3）土建施工情况：该项目尚未开始主体施工，开工时间暂未确定。', '（4）设备采购情况：该项目尚未开始采购相关设备，采购时间暂未确定。']",对2×660MW超超临界燃煤发电机组进行烟气脱硫脱硝处理。,['陕西榆林能源集团有限公司'],陕西省榆林市,"电力,环保",电力
【VIP】韩界（高家界）煤矿建设项目,"['该项目位于陕西省榆林市，由榆林巨晨矿业有限责任公司投资建设，井田位于陕北侏罗纪煤田榆神矿区一期规划区的南部，地处榆林城东北方向12km处，行政区划隶属榆林市榆阳区牛家梁镇及麻黄梁镇管辖；井田东西方向长约3.32～5.54km，南北方向宽约2.15～4.05km，面积约17.1321km2。井田可采煤层共有3层，依次为3、3-1和8号煤层。工业储量92.71Mt，设计储量为80.8Mt，设计可采储量58.70Mt，矿井按1.2Mt/a规模设计，考虑1.3的储量备用系数计算，矿井服务年限为37.6a。 首采3号煤层可采储量45.33Mt，计算服务年限达29.0a。 矿井采用斜井+立井混合开拓（即主斜井、副斜井和回风立井）。', '项目总投资95549.53万元。', '项目跟踪情况：', '（1）前期工作情况：该项目正在办理前期手续。', '（2）设计工作情况：截至目前（2015年03月04日）：该项目设计工作尚未开始。', '（3）土建施工情况：该项目尚未开始主体施工。', '（4）设备采购情况：该项目设备尚未进行采购，预计2016年开始设备采购。']",工业储量927.1万吨，矿井按120万吨/年规模设计。,['榆林巨晨矿业有限责任公司'],陕西省榆林市,能源矿产,能源矿产
1×130吨/小时中温中压循环流化床锅炉烟气SNCR脱硝项目,"['该项目位于陕西省榆林市榆阳区鱼河工业园区。由中盐榆林盐化有限公司投资建设，工程建设规模：建设1×130吨/小时中温中压循环流化床锅炉及配套烟气SNCR脱硝。', '项目总投资1200万元。']",建设1×130吨/小时中温中压循环流化床锅炉及配套烟气SNCR脱硝。,['中盐榆林盐化有限公司'],陕西省榆林市,环保,其他
重金属废水深度净化和循环利用项目,"['该项目位于 陕西省商洛市商州区沙河子镇，由陕西锌业有限公司投资建设，废水日处理3000立方米。', '项目总投资1800万元。']",废水日处理3000立方米。,['陕西锌业有限公司'],陕西省商洛市商州区沙河子镇,环保,其他
【VIP】杨家坪矿井及选煤厂新建工程,"['该项目位于陕西省咸阳市长武县亭口镇，由平煤长安能源开发有限公司投资建设，项目建设规模：矿井50万吨/年，选煤厂5.050万吨/年，服务年限96.6年；井田面积：南北长18千米，东西宽约8千米，面积146.07平方千米。', '项目总投资475515.75万元。', '项目跟踪情况：', '（1）前期工作情况：该项目正在办理前期手续。', '（2）设计工作情况：截至目前（2015年03月03日）：该项目正在做设计，由中国煤炭科工集团武汉设计研究院有限公司负责。', '（3）土建施工情况：该项目尚未开始主体施工。建设周期大概为2-3年。', '（4）设备采购情况：该项目设备尚未采购。具体采购时间尚未确定。']",项目建设规模：矿井50万吨/年，选煤厂5.050万吨/年，服务年限96.6年；井田面积：南北长18千米，东西宽约8千米，面积146.07平方千米。,['平煤长安能源开发有限公司'],陕西省咸阳市长武县亭口镇,能源矿产,能源矿产
【VIP】神东电力富平2×350兆瓦热电联产脱硫脱硝项目（跟踪1）,"['该项目位于陕西省渭南市富平县，由神华神东电力陕西富平热电有限公司投资建设，对2台350兆瓦超临界热电联产空冷燃煤机组进行烟气脱硫脱硝处理。', '项目总投资2亿元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，截至目前，项目可研由中国电力工程顾问集团西北电力设计院编制完成，已获核准。', '（2）设计工作情况：该项目设计工作正在进行中，由中国电力工程顾问集团西北电力设计院负责。', '（3）土建施工情况：该项目主体施工尚未开始，开工时间暂未确定。', '（4）设备采购情况：陆续采购相关设备。']",对2台350兆瓦超临界热电联产空冷燃煤机组进行烟气脱硫脱硝处理。,['神华神东电力陕西富平热电有限公司'],陕西省渭南市富平县,"电力,环保",电力
锅炉烟气脱硫脱硝装置技改项目,"['该项目位于陕西省渭南市华县瓜坡镇，建设3×260吨/时锅炉（煤粉炉）配套烟气脱硫系统改造及新建脱硝系统，配套一套还原剂供应制备系统。采用选择性催化还原法（SCR）脱硝装置，在燃用设计及校核煤种、锅炉BMCR工况、处理120%烟气量条件下，按脱硝出口NOX浓度＜80mg/Nm3(标态、干基）设计；脱硫系统改造后达到SO2浓度＜30mg/Nm3(标态、干基）。', '项目总投资1.2亿元。']",建设3台260吨/时锅炉（煤粉炉）配套烟气脱硫系统改造及新建脱硝系统，配套一套还原剂供应制备系统。,['陕西陕化煤化工集团有限公司'],陕西省渭南市华县瓜坡镇,环保,其他
黄龙县城区第二生活垃圾处理场建设项目,"['该项目位于陕西省延安市黄龙县曹家塬村门前沟（曹家塬村东南方向约1公里处），建设内容：完成垃圾卫生填埋场工程库区建设及渗滤液处理站建设，包括填埋场底部防渗层、垃圾坝、沼气及渗滤液导排系统、库区地表水控制系统等。工程规模：日平均处理县城垃圾42.5吨/日填埋场设计有效库容40.2万立方米填埋场设计使用年限20年。', '项目总投资2539.86万元。']",日平均处理县城垃圾42.5吨，有效库容40.2万立方米。,['黄龙县城市管理局'],陕西省延安市黄龙县,环保,其他
